Prompt	Category	Challenge	Note	Decision
a panda bear playing ping pong using a blue paddle against an ostrich using a red paddle	Animals	Fine-grained Detail		gen
Anubis wearing sunglasses and sitting astride a hog motorcyle	World Knowledge	Fine-grained Detail		gen
a photograph of sand with a bucket, lots of scattered shells but no sandpipers	Outdoor Scenes	Fine-grained Detail		gen
a shiba inu wearing a beret and black turtleneck	Animals	Fine-grained Detail	DALL-E 2	gen
a handpalm with leaves growing from it	People	Fine-grained Detail	DALL-E 2	ret
panda mad scientist mixing sparkling chemicals	Animals	Fine-grained Detail	DALL-E 2	gen
a corgi’s head depicted as an explosion of a nebula	Animals	Fine-grained Detail	DALL-E 2	gen
a dolphin in an astronaut suit on saturn	Animals	Fine-grained Detail	DALL-E 2	same
a teddy bear on a skateboard in times square	World Knowledge	Fine-grained Detail	DALL-E 2	gen
A Big Ben clock towering over the city of London	World Knowledge	Fine-grained Detail	CogView	same
A Vietnam map showing Ha Long Bay	World Knowledge	Fine-grained Detail		gen
A bowl of Pho served with bean sprouts on top	Food & Beverage	Fine-grained Detail		ret
a capybara sitting in a field	Animals	Fine-grained Detail	DALL-E	same
a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants	Animals	Fine-grained Detail	DALL-E	ret
a collection of glasses is sitting on a table	Artifacts	Fine-grained Detail	DALL-E	same
A bare kitchen has wood cabinets and white appliances	Indoor Scenes	Fine-grained Detail	VQ-Diffusion	same
A black and white landscape photograph of a black tree	Outdoor Scenes	Fine-grained Detail	VQ-Diffusion	same
an ornate, high-backed mahogany chair with a red cushion	Artifacts	Fine-grained Detail		same
a whale breaching in front of the Sydney Opera House	World Knowledge	Fine-grained Detail		gen
a white country home with a wrap-around porch	Outdoor Scenes	Fine-grained Detail		same
a corgi wearing a red bowtie and a purple party hat	Animals	Fine-grained Detail	GLIDE	gen
robots meditating in a vipassana retreat	Artifacts	Fine-grained Detail	GLIDE	gen
a white robot passing a soccer ball to a red robot	Artifacts	Fine-grained Detail		gen
a fall landscape with a small cottage next to a lake	Outdoor Scenes	Fine-grained Detail	GLIDE	ret
a cat looking out of a window at a squirrel on a fence	Animals	Fine-grained Detail		ret
a white cat with black ears and markings	Animals	Fine-grained Detail		gen
a white cat and a tabby cat looking at each other	Animals	Fine-grained Detail		same
a cat sitting on a stairway railing	Animals	Fine-grained Detail		same
a professional photo of a sunset behind the grand canyon	Outdoor Scenes	Fine-grained Detail	GLIDE	gen
a large white yacht in a calm bay on a sunny day	Vehicles	Fine-grained Detail		gen
a large white yacht tossed about in a stormy sea	Vehicles	Fine-grained Detail		ret
a baby daikon radish in a tutu walking a dog	Produce & Plants	Fine-grained Detail	DALL-E	same
an illustration of a baby daikon radish in a tutu walking a dog	Produce & Plants	Fine-grained Detail	DALL-E	same
a long wooden bench in front of a brick wall	Artifacts	Fine-grained Detail		ret
an ornate metal bench by a nature path	Outdoor Scenes	Fine-grained Detail		same
a white plastic bench with a high arched back	Artifacts	Fine-grained Detail		gen
a tall horse next to a red car	Animals	Fine-grained Detail		gen
an owl standing on a wire	Animals	Fine-grained Detail		gen
an owl standing on a telephone wire	Animals	Fine-grained Detail		gen
the skyline of New York City	World Knowledge	Fine-grained Detail		same
beautiful fireworks in the sky with red, white and blue	Outdoor Scenes	Fine-grained Detail		same
a steam locomotive speeding through a desert	Vehicles	Fine-grained Detail		ret
a submarine floating past a shark	Vehicles	Fine-grained Detail		gen
a whale breaching near a mountain	Animals	Fine-grained Detail		ret
the United States flag next to the flag of Texas	World Knowledge	Fine-grained Detail		ret
a giraffe with an owl on its head	Animals	Fine-grained Detail		gen
an owl on top of an elephant's back	Animals	Fine-grained Detail		gen
an eagle swooping down to catch a mouse	Animals	Fine-grained Detail		same
an owl with its wings spread out swooping over a tree	Animals	Fine-grained Detail		same
a giraffe eating the bark of a tree	Animals	Fine-grained Detail		ret
a car and a truck on the road next to a traffic light	Vehicles	Fine-grained Detail		same
a cityscape at night with a full moon	Outdoor Scenes	Fine-grained Detail		gen
an owl gripping a squirrel in its talons	Animals	Fine-grained Detail		ret
a bloody mary cocktail next to a napkin	Food & Beverage	Fine-grained Detail		gen
an old-fashioned cocktail next to a napkin	Food & Beverage	Fine-grained Detail		gen
a long-island ice tea cocktail next to a napkin	Food & Beverage	Fine-grained Detail		same
a margarita next to a napkin	Food & Beverage	Fine-grained Detail		gen
a room with two chairs and a painting of the Statue of Liberty	Indoor Scenes	Fine-grained Detail		gen
a mountain and its reflection in a lake	Outdoor Scenes	Fine-grained Detail		same
a bird and its reflection in a fountain	Outdoor Scenes	Fine-grained Detail		same
The Statue of Liberty on a cloudy day	World Knowledge	Fine-grained Detail		gen
The Statue of Liberty surrounded by helicopters	World Knowledge	Fine-grained Detail		same
the Eiffel Tower in winter	World Knowledge	Fine-grained Detail		ret
a sunken ship at the bottom of the ocean	Vehicles	Fine-grained Detail		same
a sunken submarine at the bottom of the ocean	Vehicles	Fine-grained Detail		same
the Eiffel Tower in a desert	World Knowledge	Fine-grained Detail		same
Golden Gate bridge on the surface of Mars	World Knowledge	Fine-grained Detail		same
the city of London on Mars	World Knowledge	Fine-grained Detail		same
the city of London on the moon	World Knowledge	Fine-grained Detail		ret
a stop sign with a large tree behind it	Artifacts	Fine-grained Detail		same
a stop sign knocked over on a sidewalk	Artifacts	Fine-grained Detail		ret
teacups surounding a kettle	Artifacts	Fine-grained Detail		gen
a dragon breathing fire	Animals	Fine-grained Detail		same
a dragon breathing fire on a castle	Animals	Fine-grained Detail		same
a dragon breathing fire onto a knight	Animals	Fine-grained Detail		ret
a view of the Big Dipper in the night sky	World Knowledge	Fine-grained Detail		gen
a view of the Orion constellation in the night sky	World Knowledge	Fine-grained Detail		gen
a teddy bear to the right of a toy car	Artifacts	Fine-grained Detail		ret
a toy car in front of a teddy bear	Artifacts	Fine-grained Detail		gen
a large present with a red ribbon	Artifacts	Fine-grained Detail		ret
a large present with a red ribbon to the left of a Christmas tree	Indoor Scenes	Fine-grained Detail		gen
a half empty bottle of red wine	Food & Beverage	Fine-grained Detail		gen
a wine bottle with a lit candle stuck in its spout	Food & Beverage	Fine-grained Detail		same
a wine bottle with a red ribbon wrapped around it	Food & Beverage	Fine-grained Detail		gen
a kids' book cover with an illustration of white dog driving a red pickup truck	Illustrations	Fine-grained Detail		gen
milk pouring into a large glass	Food & Beverage	Fine-grained Detail		same
milk pouring from a glass into a bowl	Food & Beverage	Fine-grained Detail		gen
matching socks with cute cats on them	Artifacts	Fine-grained Detail		same
cash on a wooden table	Artifacts	Fine-grained Detail		gen
a wood cabin with a fire pit in front of it	Indoor Scenes	Fine-grained Detail		same
view of a clock tower on a cloudy day	Artifacts	Fine-grained Detail		same
a chimpanzee wearing a bowtie and playing a piano	Animals	Fine-grained Detail		same
a black baseball hat with a flame decal on it	Artifacts	Fine-grained Detail		same
black hi-top sneakers with the Nike swoosh	Artifacts	Fine-grained Detail		gen
a roast turkey being taken out of the oven	Food & Beverage	Fine-grained Detail		ret
a bamboo ladder propped up against an oak tree	Artifacts	Fine-grained Detail		gen
a Tyrannosaurus Rex roaring in front of a palm tree	Animals	Fine-grained Detail		same
a Stegasaurus eating ferns	Animals	Fine-grained Detail		gen
a Triceratops charging down a hill	Animals	Fine-grained Detail		gen
a Styracosaurus displaying its horns	Animals	Fine-grained Detail		gen
a Diplodocus standing in a lake	Animals	Fine-grained Detail		ret
a tabby cat coming through a door	Animals	Fine-grained Detail		gen
a cat's tail showing under a couch	Animals	Fine-grained Detail		gen
a light shining on a giraffe in a street	Animals	Fine-grained Detail		gen
a barred owl peeking out from dense tree branches	Animals	Fine-grained Detail		same
a great gray owl with a mouse in its beak	Animals	Fine-grained Detail		same
a snowy owl standing in a grassy field	Animals	Fine-grained Detail		ret
a stone path leading away from a fountain	Outdoor Scenes	Fine-grained Detail		same
a wooden deck overlooking a mountain valley	Outdoor Scenes	Fine-grained Detail		same
a mouse sitting next to a computer mouse	Animals	Fine-grained Detail		gen
a tiny dragon landing on a knight's shield	Animals	Fine-grained Detail		same
an F1 race car in a Manhattan street	World Knowledge	Fine-grained Detail		same
a chess queen to the right of a chess knight	Artifacts	Fine-grained Detail		ret
a white pawn attacking a black bishop	Artifacts	Fine-grained Detail		gen
a mountain stream with salmon leaping out of it	Outdoor Scenes	Fine-grained Detail		same
a living room with a large Egyptian statue in the corner	Indoor Scenes	Fine-grained Detail		gen
a stone bust next to an egg and an eggplant	Artifacts	Fine-grained Detail		same
scraps of paper drifting in the wind	Outdoor Scenes	Fine-grained Detail		ret
the silhouette of an elephant on the full moon	Animals	Fine-grained Detail		same
a tree growing out of the middle of an intersection	Outdoor Scenes	Fine-grained Detail		same
a can of Spam on an elegant plate	Food & Beverage	Fine-grained Detail		gen
a dolphin jumping over a rowboat	Animals	Fine-grained Detail		gen
a pick-up truck rolling over a grassy field	Vehicles	Fine-grained Detail		same
a drop-top sports car coming around a bend in the road	Vehicles	Fine-grained Detail		gen
the Taj Mahal at sunrise	World Knowledge	Fine-grained Detail		ret
a small garden with an apple tree behind it	Produce & Plants	Fine-grained Detail		gen
a old-time car with a large front grille	Vehicles	Fine-grained Detail		ret
a blue wall with a large framed watercolor painting of a mountain	Indoor Scenes	Fine-grained Detail		same
a yellow wall with a large framed oil painting of a car	Indoor Scenes	Fine-grained Detail		gen
an old-fashioned phone next to a sleek laptop	Artifacts	Fine-grained Detail		same
a motorcycle parked in an ornate bank lobby	Vehicles	Fine-grained Detail		same
a hot air balloon landing in a corn field	Vehicles	Fine-grained Detail		gen
a wooden toy horse with a mane made of rope	Artifacts	Fine-grained Detail		gen
a beach with a cruise ship passing by	Outdoor Scenes	Fine-grained Detail		gen
a group of penguins in a snowstorm	Animals	Fine-grained Detail		ret
a Scottish castle next to a loch	World Knowledge	Fine-grained Detail		same
a full moon peeking through clouds at night	Outdoor Scenes	Fine-grained Detail		same
a crescent moon viewed between tree branches at night	Outdoor Scenes	Fine-grained Detail		same
a full moon rising above a mountain at night	Outdoor Scenes	Fine-grained Detail		gen
the International Space Station flying in front of the moon	World Knowledge	Fine-grained Detail		gen
a tornado passing over a corn field	Outdoor Scenes	Fine-grained Detail		gen
a tidal wave approaching a coastal road	Outdoor Scenes	Fine-grained Detail		same
an antique car by a beach	Vehicles	Fine-grained Detail		ret
a water tower next to a deserted road	Outdoor Scenes	Fine-grained Detail		ret
a small airplane flying over rolling hills	Vehicles	Fine-grained Detail		gen
an airplane flying into a cloud that looks like monster	Vehicles	Fine-grained Detail		gen
a blue airplane taxiing on a runway with the sun behind it	Vehicles	Fine-grained Detail		same
a car with tires that have yellow rims	Vehicles	Fine-grained Detail		gen
a turtle upside down and spinning on its shell	Animals	Fine-grained Detail		ret
an octopus fleeing and squirting black ink	Animals	Fine-grained Detail		gen
a moose by a mountain stream	Animals	Fine-grained Detail		same
a kachina doll with feathers on its head and wearing a white dress and brown boots.	World Knowledge	Fine-grained Detail		gen
a kachina doll standing in sand	World Knowledge	Fine-grained Detail		gen
a doorknocker shaped like a lion's head	Artifacts	Fine-grained Detail		same
a silver doorknocker on a mahoghany door	Artifacts	Fine-grained Detail		same
a rabbit with white fur and black-tipped ears	Animals	Fine-grained Detail		same
a glass of orange juice next to an empty pitcher	Food & Beverage	Fine-grained Detail		ret
a glass of orange juice with an orange peel stuck on the rim	Food & Beverage	Fine-grained Detail		same
a bottle of light beer with a lemon slice wedged in the rim	Food & Beverage	Fine-grained Detail		same
a helicopter hovering over Times Square	World Knowledge	Fine-grained Detail		ret
a traffic jam at Times Square	World Knowledge	Fine-grained Detail		same
a prop plane flying low over the Great Wall	World Knowledge	Fine-grained Detail		gen
a view of the Kremlin on a sunny day	World Knowledge	Fine-grained Detail		same
a view of the Kremlin with snow falling	World Knowledge	Fine-grained Detail		same
a palm tree forest in front of the Kremlin	World Knowledge	Fine-grained Detail		gen
a Ferrari Testarossa in front of the Kremlin	World Knowledge	Fine-grained Detail		gen
a rusty red pickup truck with white wheel rims	Vehicles	Fine-grained Detail		gen
a blue pickup truck with a rhinoceros in its flatbed	Vehicles	Fine-grained Detail		gen
an orange pickup truck next to a yellow Porsche 911	Vehicles	Fine-grained Detail		gen
a pickup truck kicking up dust on a back road	Vehicles	Fine-grained Detail		same
a pickup truck going up a mountain switchback	Vehicles	Fine-grained Detail		gen
a pickup truck at the beach at sunrise	Vehicles	Fine-grained Detail		same
a pickup truck under street lights at night	Vehicles	Fine-grained Detail		gen
a pair of shoes on a tennis racquet	Artifacts	Fine-grained Detail		ret
a shoe with a sock draped over it	Artifacts	Fine-grained Detail		gen
a plant growing on the side of a brick wall	Produce & Plants	Fine-grained Detail		gen
a plant at the bottom of a shallow stream	Produce & Plants	Fine-grained Detail		gen
a cow eating a green leafy plant	Animals	Fine-grained Detail		same
a bundle of blue and yellow flowers in a vase	Produce & Plants	Fine-grained Detail		same
a horse chewing a large blue flower	Animals	Fine-grained Detail		same
a yellow diamond-shaped sign with a deer silhouette	Artifacts	Fine-grained Detail		ret
a yellow diamond-shaped sign with a turtle silhouette	Artifacts	Fine-grained Detail		gen
a yellow diamond-shaped sign with a puma silhouette	Artifacts	Fine-grained Detail		same
a yellow diamond-shaped sign with a wooly mammoth silhouette	Artifacts	Fine-grained Detail		same
a pair of headphones on a pumpkin	Artifacts	Fine-grained Detail		ret
a pair of headphones on a guitar	Artifacts	Fine-grained Detail		gen
a pair of headphones on a statue of a horse	Artifacts	Fine-grained Detail		ret
a pair of headphones dangling from a tree branch	Artifacts	Fine-grained Detail		gen
a car's wheel crushing a pair of headphones	Vehicles	Fine-grained Detail		same
a chemtrail passing between two clouds	Outdoor Scenes	Fine-grained Detail		same
a long chemtrail trailing an airplane in a blue sky	Outdoor Scenes	Fine-grained Detail		ret
a tennis court with a basketball hoop in one corner	Outdoor Scenes	Fine-grained Detail		same
a tennis court that is very wet from lots of rain	Outdoor Scenes	Fine-grained Detail		ret
a rocking chair next to the net of a tennis court	Outdoor Scenes	Fine-grained Detail		gen
a ceiling fan with an ornate light fixture	Indoor Scenes	Fine-grained Detail		same
red and yellow balloons hanging from a ceiling fan	Indoor Scenes	Fine-grained Detail		gen
a sidewalk next to a wooden post with a blue '5' painted on top	Outdoor Scenes	Fine-grained Detail		ret
a harp with a carved eagle figure at the top	Artifacts	Fine-grained Detail		ret
a tuba with red flowers protruding from its bell	Artifacts	Fine-grained Detail		ret
an elephant using its trunk to blow into a tuba	Animals	Fine-grained Detail		gen
The Alamo with bright white clouds above it	World Knowledge	Fine-grained Detail		gen
a flock of geese in front of The Alamo	World Knowledge	Fine-grained Detail		same
an old-fashioned windmill surrounded by flowers	Outdoor Scenes	Fine-grained Detail		gen
a windmill farm next to a country road	Outdoor Scenes	Fine-grained Detail		same
a family of bears passing by the geyser Old Faithful	World Knowledge	Fine-grained Detail		gen
an old red truck parked by the geyser Old Faithful	World Knowledge	Fine-grained Detail		gen
an inflatable rabbit held up in the air by the geyser Old Faithful	World Knowledge	Fine-grained Detail		gen
a Harley-Davidson motorcycle with a flame decal	Vehicles	Fine-grained Detail		same
a motorcycle in front of an rhinoceros	Vehicles	Fine-grained Detail		ret
a chopper decorated with the Stars and Stripes	Vehicles	Fine-grained Detail		gen
a painting of black and white with a red flower in the right corner	Illustrations	Fine-grained Detail		same
a gorilla climbing up the side of the Great Pyramid	World Knowledge	Fine-grained Detail		gen
a beat-up truck at the base of the Great Pyramid	World Knowledge	Fine-grained Detail		same
snow covering the Great Pyramid	World Knowledge	Fine-grained Detail		ret
the sun setting behind the Parthenon	World Knowledge	Fine-grained Detail		gen
fireworks above the Parthenon	World Knowledge	Fine-grained Detail		gen
the Millennium Wheel in a snow storm	World Knowledge	Fine-grained Detail		gen
a marina with a herd of dolphins playing in it	Outdoor Scenes	Fine-grained Detail		gen
a volcano exploding next to a marina	Outdoor Scenes	Fine-grained Detail		gen
a team playing baseball at the beach	People	Fine-grained Detail		ret
a man standing on a street corner	People	Fine-grained Detail		ret
a crowd of people watching fireworks by a park	People	Fine-grained Detail		same
a crowd of people watching fireworks by a city	People	Fine-grained Detail		same
a smiling man with wavy brown hair and trimmed beard	People	Fine-grained Detail		ret
a woman with long black hair and dark skin	People	Fine-grained Detail		gen
a woman with long black hair and dark skin in a long white dress	People	Fine-grained Detail		same
a man with long blonde hair, brown eyes and blue jeans	People	Fine-grained Detail		same
an elderly woman with straight hair and metal-rimmed glasses	People	Fine-grained Detail		same
a man wearing sunglasses and business suit	People	Fine-grained Detail		same
a girl with long curly blonde hair and sunglasses	People	Fine-grained Detail		gen
an old man with a long grey beard and green eyes	People	Fine-grained Detail		gen
a woman with tan skin in blue jeans and yellow shirt	People	Fine-grained Detail		gen
a woman with a dog puppet and a cat puppet	People	Fine-grained Detail		same
a group of skiers are preparing to walk up a sand dune	People	Fine-grained Detail		same
a child eating a birthday cake near some palm trees	People	Fine-grained Detail		gen
a man with wild hair looking into a crystal ball	People	Fine-grained Detail		same
Gandalf saying you shall not pass	World Knowledge	Fine-grained Detail		same
a mosquito biting a man	People	Fine-grained Detail		gen
a witch riding a broom	People	Fine-grained Detail		same
a knight holding a long sword	People	Fine-grained Detail		same
a man reading a book with a prism on its cover	People	Fine-grained Detail		same
a cricket team walking on to the pitch	People	Fine-grained Detail		same
a cricketer standing next to a wicket	People	Fine-grained Detail		same
an elder politician giving a campaign speech	People	Fine-grained Detail		same
a young girl playing piano	People	Fine-grained Detail		same
a girl getting a kite out of a tree	People	Fine-grained Detail		gen
a politician giving a speech at a podium	People	Fine-grained Detail		same
a politician speaking to a large crowd	People	Fine-grained Detail		same
a child in the air while jumping on a trampoline	People	Fine-grained Detail		ret
the Beatles crossing Abbey road	People	Fine-grained Detail		same
a girl riding an ostrich	People	Fine-grained Detail		ret
a river with people swimming in it as a boat goes by	People	Fine-grained Detail		ret
a selfie of an old man with a white beard	People	Fine-grained Detail		gen
a young girl wearing a tiara and frilly dress	People	Fine-grained Detail		gen
a ballet dancer next to a waterfall	People	Fine-grained Detail		gen
a judge delivering a sentence to the defendant	People	Fine-grained Detail		ret
people packed on a double-decker bus	People	Fine-grained Detail		ret
a man riding a camel on the beach	People	Fine-grained Detail		gen
a woman singing into a microphone	People	Fine-grained Detail		same
a child unraveling a roll of toilet paper	People	Fine-grained Detail		gen
a girl examining an ammonite fossil	People	Fine-grained Detail		same
a fairy flying over a girl's shoulder	People	Fine-grained Detail		gen
Tibetan priests ringing a bell	People	Fine-grained Detail		same
a man sleeping in a hammock	People	Fine-grained Detail		same
a library filled with kids reading books	People	Fine-grained Detail		gen
a scientist accepting an award	People	Fine-grained Detail		gen
A tornado made of sharks crashing into a skyscraper. painting in the style of Hokusai.	Arts	Imagination		gen
A tornado made of sharks crashing into a skyscraper. painting in the style of abstract cubism.	Arts	Imagination		ret
A tornado made of sharks crashing into a skyscraper. painting in the style of watercolor.	Arts	Imagination		gen
A tornado made of tigers crashing into a skyscraper. painting in the style of Hokusai.	Arts	Imagination		ret
A tornado made of tigers crashing into a skyscraper. painting in the style of abstract cubism.	Arts	Imagination		gen
A tornado made of tigers crashing into a skyscraper. painting in the style of watercolor.	Arts	Imagination		same
A tornado made of bees crashing into a skyscraper. painting in the style of Hokusai.	Arts	Imagination		gen
A tornado made of bees crashing into a skyscraper. painting in the style of abstract cubism.	Arts	Imagination		same
A tornado made of bees crashing into a skyscraper. painting in the style of watercolor.	Arts	Imagination		gen
A television made of water that displays an image of a cityscape at night.	Artifacts	Imagination		same
A photo of a light bulb in outer space traveling the galaxy with a sailing boat inside the light bulb.	Artifacts	Imagination		gen
A shiny robot wearing a race car suit and black visor stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. comic book illustration.	Illustrations	Imagination		ret
A horse sitting on an astronaut's shoulders.	People	Imagination		same
The collision of two black holes in the center of a galaxy.	Abstract	Imagination		ret
a super math wizard cat, richly textured oil painting	Arts	Imagination		ret
A group of farm animals (cows, sheep, and pigs) made out of cheese and ham, on a wooden board. There is a dog in the background eyeing the board hungrily.	Food & Beverage	Imagination		gen
A giant cobra snake made from corn	Animals	Imagination		gen
A giant cobra snake made from sushi	Animals	Imagination		gen
A giant cobra snake made from pancakes	Animals	Imagination		same
A giant cobra snake made from salad	Animals	Imagination		same
A photo of an astronaut riding a horse in the forest. There is a river in front of them with water lilies.	People	Imagination		same
A rhino beetle this size of a tank grapples a real life passenger airplane on the tarmac	Animals	Imagination		gen
a massive robot with a coffee cup head. it is standing in the street with one foot smashing a car.	Artifacts	Imagination		gen
A large city fountain that has milk instead of water. Several cats are leaning into the fountain.	Outdoor Scenes	Imagination		gen
A bowl of soup that looks like a monster knitted out of wool	Food & Beverage	Imagination		same
A bowl of soup that looks like a monster made out of plasticine	Food & Beverage	Imagination		gen
A bowl of soup that looks like a monster spray-painted on a wall	Food & Beverage	Imagination		gen
A bowl of soup that looks like a monster with tofu says deep learning	Food & Beverage	Imagination		gen
The 1970s logo for a london-area football club called "The Rumbury Wanderers"	World Knowledge	Imagination		gen
a swordfish and a narwhal fencing in an underwater sandy arena. a crap and a lobster are cheering.	Animals	Imagination		ret
A castle made of tortilla chips, in a river made of salsa. There are tiny burritos walking around the castle	Food & Beverage	Imagination		same
A city in 4-dimensional space-time	Abstract	Imagination		same
A high resolution photo of a rat working out in a gym.	Animals	Imagination		same
A high resolution photo of a chicken working out in a gym.	Animals	Imagination		same
a dump truck filled with soccer balls scuba diving in a coral reef.	Vehicles	Imagination		gen
a yellow dump truck filled with soccer balls driving in a coral reef. a blue whale looms in the background.	Vehicles	Imagination		same
A photo of llama wearing sunglasses standing on the deck of a spaceship with the Earth in the background.	Animals	Imagination		gen
A high resolution photo of a large bowl of ramen. There are several origami boats in the ramen of different colors.	Food & Beverage	Imagination		gen
an elf drinking orange juice through a straw of a giant orange next to a squirrel and an owl watching from above	Animals	Imagination	Concept from an old children's book	same
An alien octopus floats through a portal reading a newspaper. DSLR photo.	Animals	Imagination		gen
A photo of an astronaut riding a horse in the forest.	People	Imagination		gen
A photograph of a bird made of wheat bread and an egg.	Animals	Imagination		gen
a horse corral with tigers standing in each stall	Animals	Imagination		gen
a bike rack with some bike locks attached to it but no bicycles	Vehicles	Imagination		same
A red dragon dressed in a tuxedo and playing chess. The chess pieces are fashioned after robots.	Animals	Imagination		same
An oil painting of a two-story house lifting off the ground like a rocket.	Arts	Imagination		same
a portrait of a postal worker who has forgotten their mailbag	People	Imagination		same
a politician wearing a soccer jersey and holding a volleyball while giving a speech on a stage	People	Imagination		same
a kangaroo hopping in the air between two identical large statues of warrior rabbits	Animals	Imagination		gen
a impressionistic painting of a scholarly badger reading the Rosetta Stone	World Knowledge	Imagination		same
A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the ground	Animals	Imagination		same
a photograph of a knight in shining armor holding a basketball	People	Imagination		ret
Dogs playing poker	Animals	Imagination	Description of "Dogs Playing Poker"	ret
Dogs sitting around a poker table	Animals	Imagination	Description of "Dogs Playing Poker"	gen
Dogs sitting around a poker table with beer bottles and chips. Their hands are holding cards.	Animals	Imagination	Description of "Dogs Playing Poker"	same
Salvador Dalí with a robotic half face	People	Imagination	DALL-E 2	same
an espresso machine that makes coffee from human souls	Artifacts	Imagination	DALL-E 2	gen
panda mad scientist	Animals	Imagination	DALL-E 2	same
a snail made of harp	Animals	Imagination	DALL-E	gen
a giraffe made of turtle	Animals	Imagination	DALL-E	ret
a giraffe imitating a turtle	Animals	Imagination	DALL-E	same
a cube made of porcupine	Illustrations	Imagination	DALL-E	same
a watermelon chair	Artifacts	Imagination		gen
a giant gorilla at the top of the Empire State Building	World Knowledge	Imagination		gen
a spaceship that looks like the Sydney Opera House	Vehicles	Imagination		ret
a hedgehog using a calculator	Animals	Imagination	GLIDE	gen
a cat playing checkers	Animals	Imagination		ret
a hamster dragon	Animals	Imagination		same
a futuristic city	Outdoor Scenes	Imagination	GLIDE	gen
corgi pizza	Animals	Imagination		gen
a clock with no hands	Artifacts	Imagination		gen
a baby daikon radish in a tutu	Produce & Plants	Imagination	DALL-E	gen
a chimpanzee sitting on a wooden bench	Animals	Imagination		same
a smiling banana wearing a bandana	Produce & Plants	Imagination		same
an orange wearing a cowboy hat	Produce & Plants	Imagination		gen
a cat drinking a pint of beer	Animals	Imagination		gen
a train going to the moon	Vehicles	Imagination		ret
a subway train in an empty station	Vehicles	Imagination		gen
a cow jumping over the moon	Animals	Imagination		ret
a cat sitting in a car seat	Animals	Imagination		same
a friendly car	Vehicles	Imagination		ret
two cats doing research	Animals	Imagination		ret
a red train is coming down the beach	Vehicles	Imagination		same
a small kitchen with a white goat in it	Indoor Scenes	Imagination		same
a giraffe with a funny face	Animals	Imagination		same
a peaceful lakeside landscape with migrating herd of sauropods	Outdoor Scenes	Imagination		ret
a cat standing on a horse	Animals	Imagination		same
a horse standing on an elephant	Animals	Imagination		same
a cat chasing a horse	Animals	Imagination		gen
a horse chasing a cat	Animals	Imagination		ret
a cat with four eyes	Animals	Imagination		ret
a sword slicing through a loaf of bread	Artifacts	Imagination		gen
a sword slicing through pouring milk	Artifacts	Imagination		gen
a coffee mug floating in the sky	Artifacts	Imagination		same
a pig face with an eye patch	Animals	Imagination		gen
a stork playing a violin	Animals	Imagination		gen
a TV on a horse	Artifacts	Imagination		same
a Christmas tree on a toy train	Artifacts	Imagination		same
The Statue of Liberty with the face of an owl	World Knowledge	Imagination		gen
a zebra with blue stripes	Animals	Imagination		ret
a zebra with alternating blue and red stripes	Animals	Imagination		same
a yellow tiger with blue stripes	Animals	Imagination		gen
a tiger wearing a tuxedo	Animals	Imagination		gen
the statue of Liberty next to the Washington Monument	World Knowledge	Imagination		same
a koi fish flying in the sky	Animals	Imagination		gen
a pineapple surfing on a wave	Produce & Plants	Imagination		same
a toaster shaking hands with a microwave	Artifacts	Imagination		same
blue apples on a tree with yellow leaves	Produce & Plants	Imagination		gen
square blue apples on a tree with circular yellow leaves	Produce & Plants	Imagination		gen
square red apples on a tree with circular green leaves	Produce & Plants	Imagination		same
a pirate ship landing on the moon	Vehicles	Imagination		gen
a turkey walking in the kitchen	Animals	Imagination		gen
a horned owl with a graduation cap and diploma	Animals	Imagination		gen
a panda bear with aviator glasses on its head	Animals	Imagination		same
a nerdy bear wearing glasses and a bowtie	Animals	Imagination		gen
a volcano spewing fish into the sky	Outdoor Scenes	Imagination		same
a tree with leaves that look like purple balloons	Produce & Plants	Imagination		gen
a pony with a shooting star on its flank	Animals	Imagination		same
a half moon in the day sky	Outdoor Scenes	Imagination		ret
the moon with a smiling face	Outdoor Scenes	Imagination		same
a tornado with a house carried along at its top	Outdoor Scenes	Imagination		ret
a penguin that is a car	Animals	Imagination		gen
a bicycle wheel that is made of red yarn	Vehicles	Imagination		same
a rabbit sitting on a turtle's back	Animals	Imagination		gen
a rabbit wearing a black tophat and monocle	Animals	Imagination		gen
a full pitcher of beer with an elephant's trunk in it	Food & Beverage	Imagination		gen
an elephant walking on the Great Wall	World Knowledge	Imagination		gen
a spaceship landing on the Great Wall	World Knowledge	Imagination		gen
an ocean at the base of the Great Wall	World Knowledge	Imagination		same
a herd of buffalo stampeding at the Kremlin	World Knowledge	Imagination		gen
a pickup truck missing its wheels	Vehicles	Imagination		ret
a flower with a cat's face in the middle	Produce & Plants	Imagination		gen
a flower with large red petals growing on the moon's surface	Produce & Plants	Imagination		ret
a grand piano next to the net of a tennis court	Outdoor Scenes	Imagination		ret
a piano tumbling down a hill	Artifacts	Imagination		gen
a drawing of a series of musical notes wrapped around the Earth	Illustrations	Imagination		ret
a tuba made of flower petals	Artifacts	Imagination		same
a spaceship hovering over The Alamo	World Knowledge	Imagination		same
a motorcycle hanging on a garage wall	Vehicles	Imagination		gen
a dragon perched on top of the Great Pyramid	World Knowledge	Imagination		gen
