Prompt	Category	Challenge	Note	Decisions
a photograph of a fiddle next to a basketball on a ping pong table	Artifacts	Complex		same,gen,same,ret,gen
a racoon detective using a microscope while riding in a train	Animals	Complex		ret,same,ret,gen,gen
a photograph of an ostrich wearing a fedora and singing soulfully into a microphone	Animals	Complex		ret,gen,gen,ret,ret
a cream-colored labradoodle wearing glasses and black beret teaching calculus at a blackboard	Animals	Complex		gen,gen,gen,ret,ret
a basketball to the left of two soccer balls on a gravel driveway	Artifacts	Complex		gen,gen,gen,gen,gen
a cat patting a crystal ball with the number 7 written on it in black marker	Animals	Complex		ret,same,gen,ret,gen
a cat licking a large felt ball with a drawing of the Eiffel Tower on it	World Knowledge	Complex		gen,gen,gen,gen,gen
a giraffe wearing a white bathing suit and carefully stepping to the edge of a diving board and preparing to dive	Animals	Complex		ret,gen,ret,ret,gen
a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs	Artifacts	Complex		gen,ret,ret,ret,ret
a mixed media image with a photograph of a woman with long orange hair over a background that is a sketch of a city skyline	People	Complex		gen,ret,gen,gen,gen
a black and orange yin-yang symbol with tiger's heads instead of circles	Illustrations	Complex		gen,gen,gen,gen,ret
a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave	Arts	Complex		ret,gen,ret,ret,ret
Renaissance portrayals of the Virgin Mary, seated in a loggia. Behind her is a hazy and seemingly isolated landscape imagined by the artist and painted using sfumato.	People	Complex	Description of Mona Lisa	gen,gen,gen,ret,gen
Oil-on-canvas painting of a blue night sky with roiling energy. A fuzzy and bright yellow crescent moon shining at the top. Below the exploding yellow stars and radiating swirls of blue, a distant village sits quietly on the right. Connecting earth and sky is a flame-like cypress tree with curling and swaying branches on the left. A church spire rises as a beacon over rolling blue hills	Arts	Complex	Description of The Starry Night	gen,ret,ret,gen,gen
Painting of a panic-stricken creature, simultaneously corpselike and reminiscent of a sperm or fetus, whose contours are echoed in the swirling lines of the blood-red sky	Arts	Complex	Description of The Scream	same,gen,ret,gen,ret
a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese	Artifacts	Complex	DALL-E 2	gen,ret,gen,gen,ret
a white bird in front of a dinosaur standing by some trees	Outdoor Scenes	Complex		ret,gen,ret,gen,gen
Snow mountain and tree reflection in the lake	Outdoor Scenes	Complex	VQ-Diffusion	gen,gen,gen,same,ret
a white robot, a red robot and a black robot standing together	Artifacts	Complex		ret,ret,same,ret,ret
a tree reflected in the hood of a blue car	Produce & Plants	Complex		gen,ret,gen,ret,gen
a tree reflected in the sunroof of a blue car	Produce & Plants	Complex		gen,same,ret,gen,gen
a monarch butterfly hatching from its chrysalis	Animals	Complex		gen,ret,same,ret,ret
a glass of orange juice to the right of a plate with buttered toast on it	Food & Beverage	Complex		same,ret,ret,same,ret
a bottle of beer next to an ashtray with a half-smoked cigarrette	Food & Beverage	Complex		gen,ret,same,ret,gen
a pineapple with one beer to its left and two beers on its right	Food & Beverage	Complex		ret,same,same,gen,gen
a pickup truck with a horse on its left and two dogs on its right	Vehicles	Complex		same,gen,gen,gen,ret
a brown trash bin with a green compost bin on its left and a blue recycling bin on its right	Artifacts	Complex		ret,gen,gen,ret,ret
a woman with long hair next to a luminescent bird	People	Complex		ret,ret,ret,ret,ret
a tall man stooping down to enter a low red sports car	People	Complex		gen,ret,ret,gen,ret
a black dog jumping up to hug a woman wearing a red sweater	People	Complex		gen,same,gen,ret,gen
a man and a woman standing in the back up an old pickup truck	People	Complex		gen,gen,ret,gen,gen
a boy sitting on the shoulders of a woman who is wearing an elegant dress	People	Complex		ret,ret,gen,ret,ret
a girl with curly black hair jumping off a boulder	People	Complex		ret,gen,gen,same,gen
a grandmother reading a book to her grandson and granddaughter	People	Complex		ret,ret,gen,ret,ret
a young woman with glasses reading a thick book at a mahogany desk	People	Complex		ret,same,gen,ret,ret
a man in a business suit on a ladder that is leaning up against the side of a white house	People	Complex		ret,gen,same,gen,gen
a man pouring milk into a coffee cup to make a latte with a beatiful design	People	Complex		gen,gen,ret,gen,gen
a woman using a sledgehammer to smash an ice sculpture of a goose	People	Complex		gen,ret,ret,gen,same
a painting of the mona lisa on a white wall	World Knowledge	Complex		ret,gen,gen,ret,ret
a man eating a glazed donut and a woman eating a chocolate cake	People	Complex		gen,ret,ret,gen,gen
A teddy bear wearing a motorcycle helmet and cape is standing in front of Loch Awe with Kilchurn Castle behind him	World Knowledge	Fine-grained Detail		gen,ret,same,ret,gen
A teddy bear wearing a motorcycle helmet and cape is driving a speed boat near the Golden Gate Bridge	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,ret
A teddy bear wearing a motorcycle helmet and cape is car surfing on a taxi cab in New York City	World Knowledge	Fine-grained Detail		ret,gen,gen,same,gen
A teddy bear wearing a motorcycle helmet and cape is riding a motorcycle in Rio de Janeiro with Dois Irmãos in the background	World Knowledge	Fine-grained Detail		gen,ret,ret,ret,ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		gen,same,gen,gen,ret
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		gen,ret,ret,ret,same
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen,gen,same,gen,gen
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		ret,gen,gen,gen,ret
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		gen,gen,ret,gen,gen
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen,gen,same,gen,same
A punk rock platstumppus in a studded leather jacket shouting into a microphone while standing on a stump	Animals	Fine-grained Detail		gen,gen,ret,ret,gen
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a lily pad	Animals	Fine-grained Detail		gen,gen,gen,ret,gen
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a boulder	Animals	Fine-grained Detail		gen,gen,gen,ret,gen
A map of the United States made out sushi. It is on a table next to a glass of red wine.	World Knowledge	Fine-grained Detail		ret,same,gen,ret,gen
A blue Porsche 356 parked in front of a yellow brick wall	World Knowledge	Fine-grained Detail		gen,ret,gen,same,same
A helicopter flies over the Arches National Park.	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,gen
A helicopter flies over the Grand Canyon.	World Knowledge	Fine-grained Detail		gen,ret,same,ret,ret
A helicopter flies over Yosemite.	World Knowledge	Fine-grained Detail		same,ret,gen,gen,ret
A sunken ship becomes the homeland of fish.	Vehicles	Fine-grained Detail		ret,gen,gen,gen,ret
 A sloth in a go kart on a race track. The sloth is holding a banana in one hand. There is a banana peel on the track in the background.	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
a photograph of a bird wearing headphones and speaking into a microphone in a recording studio	Animals	Fine-grained Detail		gen,ret,ret,ret,ret
A teddybear on a skateboard in Times Square, doing tricks on a cardboard box ramp.	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,gen
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book. A shiny VW van parked on grass.	World Knowledge	Fine-grained Detail		ret,ret,ret,ret,gen
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book.	Animals	Fine-grained Detail		gen,ret,gen,ret,ret
A smiling sloth wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.	Animals	Fine-grained Detail		ret,gen,ret,ret,gen
A smiling sloth wearing a leather jacket, a cowboy hat and a kilt.	Animals	Fine-grained Detail		same,gen,gen,gen,gen
A shiny VW van with a cityscape painted on it and parked on grass.	World Knowledge	Fine-grained Detail		gen,ret,gen,gen,ret
The Statue of Liberty with the Manhattan skyline in the background.	World Knowledge	Fine-grained Detail		gen,ret,gen,ret,same
a cream colored labradoodle next to a white cat with black-tipped ears	Animals	Fine-grained Detail		gen,ret,same,gen,same
The Great Pyramid of Giza situated in front of Mount Everest	World Knowledge	Fine-grained Detail		same,ret,ret,same,gen
A photo of a Ming Dynasty vase on a leather topped table.	World Knowledge	Fine-grained Detail		gen,gen,ret,gen,ret
A table full of food. There is a plate of chicken rice, a bowl of bak chor mee, and a bowl of laksa.	Food & Beverage	Fine-grained Detail		ret,ret,ret,ret,gen
A map of the United States with a pin on San Francisco	World Knowledge	Fine-grained Detail		gen,gen,same,ret,ret
A map of the United States made out of sushi on the table.	World Knowledge	Fine-grained Detail		same,gen,gen,gen,same
a cute wooden owl statue holding a large globe of the Earth above its head	Animals	Fine-grained Detail		gen,ret,same,gen,gen
a photograph of the mona lisa drinking coffee as she has her breakfast. her plate has an omelette and croissant.	People	Fine-grained Detail		gen,ret,gen,gen,ret
the mona lisa wearing a cowboy hat and screaming a punk song into a microphone	People	Fine-grained Detail		ret,ret,ret,ret,ret
a young badger delicately sniffing a yellow rose, richly textured oil painting	Arts	Fine-grained Detail		gen,gen,gen,gen,gen
a photograph of a blue porsche 356 coming around a bend in the road	Vehicles	Fine-grained Detail		gen,ret,gen,gen,gen
fairy cottage with smoke coming up chimney and a squirrel looking from the window	Outdoor Scenes	Fine-grained Detail		gen,same,gen,gen,gen
purple lego dollhouse with a pool and a swing	Artifacts	Fine-grained Detail		same,ret,gen,gen,gen
black bearded dog with an injured leg wearing a cone	Animals	Fine-grained Detail		same,ret,gen,ret,ret
brown white and black white guinea pigs eating parsley handed to them	Animals	Fine-grained Detail		gen,gen,gen,gen,ret
The Rosetta Stone lying on the ground, covered in snow.	World Knowledge	Fine-grained Detail		ret,gen,gen,ret,gen
a high-quality photograph of an armadillo playing a bagpipe while standing on one leg	Animals	Fine-grained Detail		ret,ret,gen,gen,same
a white robot with a red mohawk painted as graffiti on a red brick wall	Artifacts	Fine-grained Detail		same,gen,ret,same,gen
a panda bear playing ping pong using a blue paddle against an ostrich using a red paddle	Animals	Fine-grained Detail		gen,gen,gen,gen,ret
Anubis wearing sunglasses and sitting astride a hog motorcyle	World Knowledge	Fine-grained Detail		ret,gen,gen,gen,gen
a photograph of sand with a bucket, lots of scattered shells but no sandpipers	Outdoor Scenes	Fine-grained Detail		gen,gen,gen,ret,gen
a shiba inu wearing a beret and black turtleneck	Animals	Fine-grained Detail	DALL-E 2	gen,gen,gen,gen,same
a handpalm with leaves growing from it	People	Fine-grained Detail	DALL-E 2	gen,ret,ret,ret,ret
panda mad scientist mixing sparkling chemicals	Animals	Fine-grained Detail	DALL-E 2	gen,gen,gen,gen,ret
a corgi’s head depicted as an explosion of a nebula	Animals	Fine-grained Detail	DALL-E 2	gen,gen,gen,gen,ret
a dolphin in an astronaut suit on saturn	Animals	Fine-grained Detail	DALL-E 2	same,same,same,gen,gen
a teddy bear on a skateboard in times square	World Knowledge	Fine-grained Detail	DALL-E 2	gen,gen,gen,ret,gen
A Big Ben clock towering over the city of London	World Knowledge	Fine-grained Detail	CogView	ret,gen,gen,same,ret
A Vietnam map showing Ha Long Bay	World Knowledge	Fine-grained Detail		ret,gen,gen,gen,gen
A bowl of Pho served with bean sprouts on top	Food & Beverage	Fine-grained Detail		same,ret,gen,ret,ret
a capybara sitting in a field	Animals	Fine-grained Detail	DALL-E	gen,gen,ret,gen,ret
a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants	Animals	Fine-grained Detail	DALL-E	ret,ret,ret,ret,ret
a collection of glasses is sitting on a table	Artifacts	Fine-grained Detail	DALL-E	same,same,gen,ret,ret
A bare kitchen has wood cabinets and white appliances	Indoor Scenes	Fine-grained Detail	VQ-Diffusion	ret,ret,gen,ret,gen
A black and white landscape photograph of a black tree	Outdoor Scenes	Fine-grained Detail	VQ-Diffusion	ret,gen,same,ret,gen
an ornate, high-backed mahogany chair with a red cushion	Artifacts	Fine-grained Detail		ret,gen,gen,ret,gen
a whale breaching in front of the Sydney Opera House	World Knowledge	Fine-grained Detail		gen,gen,ret,same,gen
a white country home with a wrap-around porch	Outdoor Scenes	Fine-grained Detail		same,gen,same,ret,same
a corgi wearing a red bowtie and a purple party hat	Animals	Fine-grained Detail	GLIDE	same,gen,gen,ret,gen
robots meditating in a vipassana retreat	Artifacts	Fine-grained Detail	GLIDE	gen,gen,gen,gen,gen
a white robot passing a soccer ball to a red robot	Artifacts	Fine-grained Detail		gen,gen,gen,ret,gen
a fall landscape with a small cottage next to a lake	Outdoor Scenes	Fine-grained Detail	GLIDE	same,ret,gen,ret,ret
a cat looking out of a window at a squirrel on a fence	Animals	Fine-grained Detail		ret,ret,ret,ret,ret
a white cat with black ears and markings	Animals	Fine-grained Detail		gen,same,ret,gen,gen
a white cat and a tabby cat looking at each other	Animals	Fine-grained Detail		gen,gen,same,same,same
a cat sitting on a stairway railing	Animals	Fine-grained Detail		gen,ret,ret,gen,ret
a professional photo of a sunset behind the grand canyon	Outdoor Scenes	Fine-grained Detail	GLIDE	gen,gen,same,gen,ret
a large white yacht in a calm bay on a sunny day	Vehicles	Fine-grained Detail		gen,gen,gen,gen,same
a large white yacht tossed about in a stormy sea	Vehicles	Fine-grained Detail		ret,ret,same,ret,same
a baby daikon radish in a tutu walking a dog	Produce & Plants	Fine-grained Detail	DALL-E	ret,gen,ret,same,gen
an illustration of a baby daikon radish in a tutu walking a dog	Produce & Plants	Fine-grained Detail	DALL-E	ret,gen,gen,ret,gen
a long wooden bench in front of a brick wall	Artifacts	Fine-grained Detail		same,ret,ret,ret,ret
an ornate metal bench by a nature path	Outdoor Scenes	Fine-grained Detail		same,gen,ret,ret,same
a white plastic bench with a high arched back	Artifacts	Fine-grained Detail		gen,ret,gen,gen,gen
a tall horse next to a red car	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
an owl standing on a wire	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
an owl standing on a telephone wire	Animals	Fine-grained Detail		same,gen,gen,gen,gen
the skyline of New York City	World Knowledge	Fine-grained Detail		ret,gen,gen,same,same
beautiful fireworks in the sky with red, white and blue	Outdoor Scenes	Fine-grained Detail		ret,ret,same,gen,same
a steam locomotive speeding through a desert	Vehicles	Fine-grained Detail		same,ret,ret,same,ret
a submarine floating past a shark	Vehicles	Fine-grained Detail		gen,gen,gen,gen,same
a whale breaching near a mountain	Animals	Fine-grained Detail		ret,ret,ret,ret,same
the United States flag next to the flag of Texas	World Knowledge	Fine-grained Detail		ret,ret,ret,ret,same
a giraffe with an owl on its head	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
an owl on top of an elephant's back	Animals	Fine-grained Detail		gen,gen,ret,gen,gen
an eagle swooping down to catch a mouse	Animals	Fine-grained Detail		ret,ret,gen,gen,gen
an owl with its wings spread out swooping over a tree	Animals	Fine-grained Detail		same,same,gen,same,gen
a giraffe eating the bark of a tree	Animals	Fine-grained Detail		gen,ret,ret,same,ret
a car and a truck on the road next to a traffic light	Vehicles	Fine-grained Detail		gen,ret,ret,gen,gen
a cityscape at night with a full moon	Outdoor Scenes	Fine-grained Detail		gen,gen,ret,same,gen
an owl gripping a squirrel in its talons	Animals	Fine-grained Detail		ret,ret,ret,gen,same
a bloody mary cocktail next to a napkin	Food & Beverage	Fine-grained Detail		gen,gen,gen,same,gen
an old-fashioned cocktail next to a napkin	Food & Beverage	Fine-grained Detail		gen,gen,gen,ret,gen
a long-island ice tea cocktail next to a napkin	Food & Beverage	Fine-grained Detail		gen,gen,ret,ret,ret
a margarita next to a napkin	Food & Beverage	Fine-grained Detail		gen,gen,gen,gen,gen
a room with two chairs and a painting of the Statue of Liberty	Indoor Scenes	Fine-grained Detail		gen,gen,gen,gen,gen
a mountain and its reflection in a lake	Outdoor Scenes	Fine-grained Detail		same,ret,gen,same,gen
a bird and its reflection in a fountain	Outdoor Scenes	Fine-grained Detail		same,same,ret,same,ret
The Statue of Liberty on a cloudy day	World Knowledge	Fine-grained Detail		same,gen,gen,gen,same
The Statue of Liberty surrounded by helicopters	World Knowledge	Fine-grained Detail		same,gen,ret,same,gen
the Eiffel Tower in winter	World Knowledge	Fine-grained Detail		ret,gen,ret,same,ret
a sunken ship at the bottom of the ocean	Vehicles	Fine-grained Detail		same,same,gen,same,ret
a sunken submarine at the bottom of the ocean	Vehicles	Fine-grained Detail		gen,gen,ret,same,ret
the Eiffel Tower in a desert	World Knowledge	Fine-grained Detail		gen,gen,ret,gen,ret
Golden Gate bridge on the surface of Mars	World Knowledge	Fine-grained Detail		ret,ret,gen,ret,gen
the city of London on Mars	World Knowledge	Fine-grained Detail		ret,gen,gen,ret,ret
the city of London on the moon	World Knowledge	Fine-grained Detail		gen,same,ret,ret,ret
a stop sign with a large tree behind it	Artifacts	Fine-grained Detail		gen,ret,gen,gen,ret
a stop sign knocked over on a sidewalk	Artifacts	Fine-grained Detail		ret,ret,ret,ret,ret
teacups surounding a kettle	Artifacts	Fine-grained Detail		gen,ret,gen,gen,same
a dragon breathing fire	Animals	Fine-grained Detail		same,same,gen,same,same
a dragon breathing fire on a castle	Animals	Fine-grained Detail		ret,same,ret,same,gen
a dragon breathing fire onto a knight	Animals	Fine-grained Detail		gen,ret,same,ret,ret
a view of the Big Dipper in the night sky	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,gen
a view of the Orion constellation in the night sky	World Knowledge	Fine-grained Detail		gen,ret,same,gen,gen
a teddy bear to the right of a toy car	Artifacts	Fine-grained Detail		ret,ret,ret,gen,same
a toy car in front of a teddy bear	Artifacts	Fine-grained Detail		gen,gen,same,gen,gen
a large present with a red ribbon	Artifacts	Fine-grained Detail		ret,ret,gen,ret,ret
a large present with a red ribbon to the left of a Christmas tree	Indoor Scenes	Fine-grained Detail		gen,ret,same,gen,gen
a half empty bottle of red wine	Food & Beverage	Fine-grained Detail		gen,ret,gen,gen,gen
a wine bottle with a lit candle stuck in its spout	Food & Beverage	Fine-grained Detail		gen,gen,ret,ret,gen
a wine bottle with a red ribbon wrapped around it	Food & Beverage	Fine-grained Detail		gen,gen,gen,gen,gen
a kids' book cover with an illustration of white dog driving a red pickup truck	Illustrations	Fine-grained Detail		gen,same,gen,gen,gen
milk pouring into a large glass	Food & Beverage	Fine-grained Detail		same,ret,gen,same,gen
milk pouring from a glass into a bowl	Food & Beverage	Fine-grained Detail		gen,gen,gen,gen,gen
matching socks with cute cats on them	Artifacts	Fine-grained Detail		same,same,ret,gen,gen
cash on a wooden table	Artifacts	Fine-grained Detail		gen,gen,gen,gen,gen
a wood cabin with a fire pit in front of it	Indoor Scenes	Fine-grained Detail		gen,same,ret,gen,same
view of a clock tower on a cloudy day	Artifacts	Fine-grained Detail		same,same,ret,gen,ret
a chimpanzee wearing a bowtie and playing a piano	Animals	Fine-grained Detail		gen,gen,same,ret,same
a black baseball hat with a flame decal on it	Artifacts	Fine-grained Detail		same,ret,gen,ret,gen
black hi-top sneakers with the Nike swoosh	Artifacts	Fine-grained Detail		gen,gen,gen,same,gen
a roast turkey being taken out of the oven	Food & Beverage	Fine-grained Detail		same,ret,ret,ret,ret
a bamboo ladder propped up against an oak tree	Artifacts	Fine-grained Detail		gen,gen,ret,gen,gen
a Tyrannosaurus Rex roaring in front of a palm tree	Animals	Fine-grained Detail		gen,gen,ret,gen,ret
a Stegasaurus eating ferns	Animals	Fine-grained Detail		gen,gen,gen,gen,ret
a Triceratops charging down a hill	Animals	Fine-grained Detail		gen,gen,gen,same,gen
a Styracosaurus displaying its horns	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
a Diplodocus standing in a lake	Animals	Fine-grained Detail		ret,ret,gen,same,ret
a tabby cat coming through a door	Animals	Fine-grained Detail		gen,gen,gen,same,ret
a cat's tail showing under a couch	Animals	Fine-grained Detail		ret,gen,gen,gen,gen
a light shining on a giraffe in a street	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
a barred owl peeking out from dense tree branches	Animals	Fine-grained Detail		gen,gen,ret,ret,same
a great gray owl with a mouse in its beak	Animals	Fine-grained Detail		same,same,same,ret,gen
a snowy owl standing in a grassy field	Animals	Fine-grained Detail		gen,ret,ret,same,ret
a stone path leading away from a fountain	Outdoor Scenes	Fine-grained Detail		gen,ret,gen,ret,ret
a wooden deck overlooking a mountain valley	Outdoor Scenes	Fine-grained Detail		same,ret,same,same,ret
a mouse sitting next to a computer mouse	Animals	Fine-grained Detail		gen,gen,gen,gen,gen
a tiny dragon landing on a knight's shield	Animals	Fine-grained Detail		ret,ret,ret,gen,gen
an F1 race car in a Manhattan street	World Knowledge	Fine-grained Detail		gen,same,same,ret,same
a chess queen to the right of a chess knight	Artifacts	Fine-grained Detail		ret,same,ret,gen,ret
a white pawn attacking a black bishop	Artifacts	Fine-grained Detail		gen,gen,ret,gen,gen
a mountain stream with salmon leaping out of it	Outdoor Scenes	Fine-grained Detail		same,gen,gen,same,same
a living room with a large Egyptian statue in the corner	Indoor Scenes	Fine-grained Detail		ret,gen,gen,gen,gen
a stone bust next to an egg and an eggplant	Artifacts	Fine-grained Detail		ret,gen,gen,ret,gen
scraps of paper drifting in the wind	Outdoor Scenes	Fine-grained Detail		ret,ret,ret,gen,ret
the silhouette of an elephant on the full moon	Animals	Fine-grained Detail		same,same,ret,same,ret
a tree growing out of the middle of an intersection	Outdoor Scenes	Fine-grained Detail		same,gen,gen,ret,same
a can of Spam on an elegant plate	Food & Beverage	Fine-grained Detail		same,gen,ret,gen,gen
a dolphin jumping over a rowboat	Animals	Fine-grained Detail		gen,ret,gen,gen,gen
a pick-up truck rolling over a grassy field	Vehicles	Fine-grained Detail		gen,same,same,ret,ret
a drop-top sports car coming around a bend in the road	Vehicles	Fine-grained Detail		same,gen,gen,gen,gen
the Taj Mahal at sunrise	World Knowledge	Fine-grained Detail		ret,ret,ret,same,gen
a small garden with an apple tree behind it	Produce & Plants	Fine-grained Detail		gen,gen,gen,gen,gen
a old-time car with a large front grille	Vehicles	Fine-grained Detail		ret,same,ret,gen,ret
a blue wall with a large framed watercolor painting of a mountain	Indoor Scenes	Fine-grained Detail		gen,same,same,gen,ret
a yellow wall with a large framed oil painting of a car	Indoor Scenes	Fine-grained Detail		gen,ret,gen,gen,gen
an old-fashioned phone next to a sleek laptop	Artifacts	Fine-grained Detail		ret,gen,same,ret,gen
a motorcycle parked in an ornate bank lobby	Vehicles	Fine-grained Detail		ret,gen,gen,gen,ret
a hot air balloon landing in a corn field	Vehicles	Fine-grained Detail		gen,gen,gen,ret,gen
a wooden toy horse with a mane made of rope	Artifacts	Fine-grained Detail		gen,gen,gen,gen,gen
a beach with a cruise ship passing by	Outdoor Scenes	Fine-grained Detail		gen,gen,same,same,gen
a group of penguins in a snowstorm	Animals	Fine-grained Detail		gen,ret,ret,ret,same
a Scottish castle next to a loch	World Knowledge	Fine-grained Detail		same,same,same,ret,same
a full moon peeking through clouds at night	Outdoor Scenes	Fine-grained Detail		ret,same,gen,ret,same
a crescent moon viewed between tree branches at night	Outdoor Scenes	Fine-grained Detail		gen,ret,gen,same,same
a full moon rising above a mountain at night	Outdoor Scenes	Fine-grained Detail		gen,same,gen,ret,gen
the International Space Station flying in front of the moon	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,same
a tornado passing over a corn field	Outdoor Scenes	Fine-grained Detail		gen,gen,gen,same,gen
a tidal wave approaching a coastal road	Outdoor Scenes	Fine-grained Detail		same,gen,ret,gen,ret
an antique car by a beach	Vehicles	Fine-grained Detail		ret,same,ret,ret,ret
a water tower next to a deserted road	Outdoor Scenes	Fine-grained Detail		ret,ret,gen,ret,ret
a small airplane flying over rolling hills	Vehicles	Fine-grained Detail		gen,gen,gen,same,gen
an airplane flying into a cloud that looks like monster	Vehicles	Fine-grained Detail		gen,same,gen,gen,ret
a blue airplane taxiing on a runway with the sun behind it	Vehicles	Fine-grained Detail		gen,ret,same,same,ret
a car with tires that have yellow rims	Vehicles	Fine-grained Detail		gen,gen,gen,gen,gen
a turtle upside down and spinning on its shell	Animals	Fine-grained Detail		ret,same,ret,ret,gen
an octopus fleeing and squirting black ink	Animals	Fine-grained Detail		gen,gen,gen,same,ret
a moose by a mountain stream	Animals	Fine-grained Detail		gen,ret,same,same,gen
a kachina doll with feathers on its head and wearing a white dress and brown boots.	World Knowledge	Fine-grained Detail		ret,gen,gen,gen,gen
a kachina doll standing in sand	World Knowledge	Fine-grained Detail		gen,gen,ret,gen,gen
a doorknocker shaped like a lion's head	Artifacts	Fine-grained Detail		same,gen,ret,gen,same
a silver doorknocker on a mahoghany door	Artifacts	Fine-grained Detail		same,gen,ret,gen,same
a rabbit with white fur and black-tipped ears	Animals	Fine-grained Detail		ret,same,same,same,ret
a glass of orange juice next to an empty pitcher	Food & Beverage	Fine-grained Detail		ret,ret,same,ret,ret
a glass of orange juice with an orange peel stuck on the rim	Food & Beverage	Fine-grained Detail		ret,ret,gen,gen,same
a bottle of light beer with a lemon slice wedged in the rim	Food & Beverage	Fine-grained Detail		gen,gen,same,same,same
a helicopter hovering over Times Square	World Knowledge	Fine-grained Detail		same,ret,ret,ret,gen
a traffic jam at Times Square	World Knowledge	Fine-grained Detail		same,same,ret,gen,ret
a prop plane flying low over the Great Wall	World Knowledge	Fine-grained Detail		gen,gen,ret,gen,gen
a view of the Kremlin on a sunny day	World Knowledge	Fine-grained Detail		ret,gen,gen,ret,gen
a view of the Kremlin with snow falling	World Knowledge	Fine-grained Detail		ret,same,same,ret,same
a palm tree forest in front of the Kremlin	World Knowledge	Fine-grained Detail		gen,gen,gen,gen,gen
a Ferrari Testarossa in front of the Kremlin	World Knowledge	Fine-grained Detail		ret,same,gen,gen,gen
a rusty red pickup truck with white wheel rims	Vehicles	Fine-grained Detail		same,gen,gen,gen,gen
a blue pickup truck with a rhinoceros in its flatbed	Vehicles	Fine-grained Detail		same,gen,ret,gen,gen
an orange pickup truck next to a yellow Porsche 911	Vehicles	Fine-grained Detail		gen,gen,gen,gen,ret
a pickup truck kicking up dust on a back road	Vehicles	Fine-grained Detail		ret,gen,ret,gen,ret
a pickup truck going up a mountain switchback	Vehicles	Fine-grained Detail		gen,gen,gen,gen,gen
a pickup truck at the beach at sunrise	Vehicles	Fine-grained Detail		gen,gen,ret,gen,ret
a pickup truck under street lights at night	Vehicles	Fine-grained Detail		gen,ret,same,gen,gen
a pair of shoes on a tennis racquet	Artifacts	Fine-grained Detail		ret,gen,ret,ret,ret
a shoe with a sock draped over it	Artifacts	Fine-grained Detail		gen,gen,gen,ret,gen
a plant growing on the side of a brick wall	Produce & Plants	Fine-grained Detail		gen,same,gen,gen,ret
a plant at the bottom of a shallow stream	Produce & Plants	Fine-grained Detail		gen,gen,ret,gen,gen
a cow eating a green leafy plant	Animals	Fine-grained Detail		ret,ret,gen,gen,ret
a bundle of blue and yellow flowers in a vase	Produce & Plants	Fine-grained Detail		ret,gen,gen,same,ret
a horse chewing a large blue flower	Animals	Fine-grained Detail		gen,gen,ret,ret,ret
a yellow diamond-shaped sign with a deer silhouette	Artifacts	Fine-grained Detail		ret,ret,ret,ret,gen
a yellow diamond-shaped sign with a turtle silhouette	Artifacts	Fine-grained Detail		gen,gen,gen,ret,gen
a yellow diamond-shaped sign with a puma silhouette	Artifacts	Fine-grained Detail		gen,gen,same,ret,ret
a yellow diamond-shaped sign with a wooly mammoth silhouette	Artifacts	Fine-grained Detail		ret,gen,ret,same,same
a pair of headphones on a pumpkin	Artifacts	Fine-grained Detail		same,ret,ret,ret,ret
a pair of headphones on a guitar	Artifacts	Fine-grained Detail		ret,gen,gen,gen,same
a pair of headphones on a statue of a horse	Artifacts	Fine-grained Detail		ret,ret,ret,ret,same
a pair of headphones dangling from a tree branch	Artifacts	Fine-grained Detail		gen,ret,gen,same,gen
a car's wheel crushing a pair of headphones	Vehicles	Fine-grained Detail		ret,gen,gen,gen,ret
a chemtrail passing between two clouds	Outdoor Scenes	Fine-grained Detail		same,ret,ret,gen,same
